Date/Time,EMS:ashp supply fan Cooling [J](Hourly),EMS:ashp supply fan Heating [J](Hourly),ASHP CLG COIL:Cooling Coil Total Cooling Energy [J](Hourly),ASHP CLG COIL:Cooling Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP HTG COIL:Heating Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Defrost Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Crankcase Heater Electric Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Electric Energy [J](Hourly),WATER USE CONNECTIONS 1:Water Use Connections Plant Hot Water Energy [J](Hourly),WATER HEATER:Water Heater Tank Temperature [C](Hourly),WATER HEATER:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Use Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Source Side Inlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Rate [W](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Energy [J](Hourly),WATER HEATER:Water Heater Heating Energy [J](Hourly),WATER HEATER:Water Heater Electric Energy [J](Hourly),WATER HEATER:Water Heater Off Cycle Parasitic Electric Energy [J](Hourly),WATER HEATER:Water Heater On Cycle Parasitic Electric Energy [J](Hourly),DESUPERHEATER:Water Heater Heating Energy [J](Hourly),WH SETPOINT TEMP:Schedule Value [](Hourly) 
 10/16  06:00:00,15360.188552076102,0.0,310430.5721837304,54107.6610019303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.244059917211789,0.0,53.244059917211789,0.00538076972872314,54.36959724752059,53.244059917211789,25.32902374674274,91184.48548827388,0.0,0.0,0.0,0.0,91134.55829641516,52.6666666666667 
 10/16  07:00:00,13231.907082868704,0.0,267538.74647972758,46614.42000732336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.26981846346261,0.0,53.26981846346261,0.004634749304760808,54.39591706481434,53.26981846346261,21.82822177055501,78581.59837399805,0.0,0.0,0.0,0.0,78538.2916217627,52.6666666666667 
 10/16  08:00:00,39759.7834242386,0.0,788583.9322307628,145742.51192815064,0.0,0.0,0.0,0.0,0.0,0.0,4284655.900941558,51.78555483909585,0.008116727433108026,51.78555483909585,0.013936393476341609,52.899358911317609,51.78555483909585,64.91955090057653,233710.38324207549,2831417.13791089,3539271.4223886125,0.0,0.0,233581.6110397284,52.6666666666667 
 10/16  09:00:00,122696.00327767665,0.0,2376838.0406070689,476705.59953867489,0.0,0.0,0.0,0.0,0.0,0.0,2381584.6823090489,51.51617368796589,0.0045533593409252449,51.51617368796589,0.04313123118882154,52.61531066235492,51.51617368796589,198.22822028314404,713621.5930193185,2482986.4716163945,3103733.0895204928,0.0,0.0,713385.9100364358,52.6666666666667 
 10/16  10:00:00,241900.82235286429,0.0,4621647.859749676,980183.2731635809,0.0,0.0,0.0,0.0,0.0,0.0,148095.85568976319,53.74780913858894,0.000278501759517328,53.74780913858894,0.0853177555083025,54.838618073741077,53.74780913858894,389.1932446597434,1401095.6807750765,0.0,0.0,0.0,0.0,1400457.7832283143,52.6666666666667 
 10/16  11:00:00,338754.1627657097,0.0,6465481.057660851,1386335.6904754244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.87387857190024,0.0,56.87387857190024,0.11966823724193396,57.96394126649324,56.87387857190024,545.6250505746918,1964250.1820688907,0.0,0.0,0.0,0.0,1962954.1870340685,52.6666666666667 
 10/16  12:00:00,430959.7674267019,0.0,8165205.874470181,1803107.3578532958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.26521699945347,0.0,59.26521699945347,0.08142512381621471,60.351929039772389,59.26521699945347,370.2338330863411,1332841.799110828,0.0,0.0,0.0,0.0,1331531.749332754,52.6666666666667 
 10/16  13:00:00,487363.2987380994,0.0,9243265.467676143,2039019.1833176029,0.0,0.0,0.0,0.0,0.0,0.0,916357.22074183,59.06401692749922,0.0015022180322850059,59.06401692749922,0.0,59.06401692749922,59.06401692749922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/16  14:00:00,544079.1539036691,0.0,10271055.76909651,2304228.9998320618,0.0,0.0,0.0,0.0,0.0,0.0,36093.17190704214,58.0368577242821,0.000057040092587435757,58.0368577242821,0.0,58.0368577242821,58.0368577242821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/16  15:00:00,611238.1286771082,0.0,11547846.854317559,2588431.5068618289,0.0,0.0,0.0,0.0,0.0,0.0,630822.0516707797,57.30192508994558,0.0010207067461925142,57.30192508994558,0.0,57.30192508994558,57.30192508994558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/16  16:00:00,612028.0897277304,0.0,11614061.58633166,2559991.9619475787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.60835269104083,0.0,56.60835269104083,0.0,56.60835269104083,56.60835269104083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/16  17:00:00,581502.6283736491,0.0,11169993.987140438,2355483.127576783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.468456451972489,0.0,56.468456451972489,0.0,56.468456451972489,56.468456451972489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/16  18:00:00,501835.67968540286,0.0,9748740.515979484,1967293.862839309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.32919841648325,0.0,56.32919841648325,0.0,56.32919841648325,56.32919841648325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/16  19:00:00,406066.922693097,0.0,7971368.759097978,1543346.580603105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.19057606173891,0.0,56.19057606173891,0.0,56.19057606173891,56.19057606173891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/16  20:00:00,337795.2889019682,0.0,6639524.6874773,1272630.4308008517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.05258696991124,0.0,56.05258696991124,0.0,56.05258696991124,56.05258696991124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
