Date/Time,EMS:ashp supply fan Cooling [J](Hourly),EMS:ashp supply fan Heating [J](Hourly),ASHP CLG COIL:Cooling Coil Total Cooling Energy [J](Hourly),ASHP CLG COIL:Cooling Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP HTG COIL:Heating Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Defrost Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Crankcase Heater Electric Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Electric Energy [J](Hourly),WATER USE CONNECTIONS 1:Water Use Connections Plant Hot Water Energy [J](Hourly),WATER HEATER:Water Heater Tank Temperature [C](Hourly),WATER HEATER:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Use Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Source Side Inlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Rate [W](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Energy [J](Hourly),WATER HEATER:Water Heater Heating Energy [J](Hourly),WATER HEATER:Water Heater Electric Energy [J](Hourly),WATER HEATER:Water Heater Off Cycle Parasitic Electric Energy [J](Hourly),WATER HEATER:Water Heater On Cycle Parasitic Electric Energy [J](Hourly),DESUPERHEATER:Water Heater Heating Energy [J](Hourly),WH SETPOINT TEMP:Schedule Value [](Hourly) 
 01/01  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462057.71892871076,52.13316807885124,0.0007341330510492818,52.13316807885124,0.0,51.42017507513733,52.13316807885124,0.0,0.0,1156998.887100632,1446248.60887579,0.0,0.0,0.0,52.6666666666667 
 01/01  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969001.183251899,51.623076780933939,0.0015425589104559597,51.623076780933939,0.0,52.13316807885124,51.623076780933939,0.0,0.0,1187798.8660634615,1484748.5825793266,0.0,0.0,0.0,52.6666666666667 
 01/01  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618561.9294952143,51.65242025358653,0.0025813474894339205,51.65242025358653,0.0,51.623076780933939,51.65242025358653,0.0,0.0,1230376.3186903282,1537970.3983629102,0.0,0.0,0.0,52.6666666666667 
 01/01  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8415477.564866262,51.61535306717639,0.013431896674169455,51.61535306717639,0.0,51.65242025358653,51.61535306717639,0.0,0.0,8576692.969566852,10720866.211958565,0.0,0.0,0.0,52.6666666666667 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139112.49286561128,52.46148483115832,0.00022103667414073572,52.46148483115832,0.0,51.61535306717639,52.46148483115832,0.0,0.0,737696.2100977583,922120.2626221979,0.0,0.0,0.0,52.6666666666667 
 01/01  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.222378068955119,0.0,52.222378068955119,0.0,52.46148483115832,52.222378068955119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/01  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707674.4937484417,51.455566316411587,0.0011291332447387669,51.455566316411587,0.0,52.222378068955119,51.455566316411587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/01  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190158.37222865885,52.06316597372085,0.0003032263695992552,52.06316597372085,0.0,51.455566316411587,52.06316597372085,0.0,0.0,1140923.5964914072,1426154.4956142589,0.0,0.0,0.0,52.6666666666667 
 01/01  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.243375263578879,0.0,52.243375263578879,0.0,52.06316597372085,52.243375263578879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/01  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,52.10341647401606,0.0,52.10341647401606,0.0,52.243375263578879,52.10341647401606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,51.96321250412843,0.0,51.96321250412843,0.0,52.10341647401606,51.96321250412843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,51.82265029933331,0.0,51.82265029933331,0.0,51.96321250412843,51.82265029933331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,51.68177048604933,0.0,51.68177048604933,0.0,51.82265029933331,51.68177048604933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  04:00:00,0.0,13415.421202489573,0.0,0.0,287311.2562179864,103382.8376055252,0.0,178786.20355476149,0.0,0.0,0.0,51.54066398594417,0.0,51.54066398594417,0.0,51.68177048604933,51.54066398594417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  05:00:00,0.0,43859.505593985006,0.0,0.0,940910.6927854391,337979.80794262795,0.0,176031.6928424119,0.0,0.0,0.0,51.399335671856167,0.0,51.399335671856167,0.0,51.54066398594417,51.399335671856167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
