Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),SPACE1-1:Zone Predicted Sensible Load to Cooling Setpoint Heat Transfer Rate [W](Hourly),SPACE1-1 HP COOLING MODE:Cooling Coil Total Cooling Rate [W](Hourly),SPACE1-1 HP COOLING MODE:Cooling Coil Sensible Cooling Rate [W](Hourly),SPACE1-1 HP HEATING MODE:Heating Coil Heating Rate [W](Hourly),SPACE1-1 HP SUPP COIL:Heating Coil Heating Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Total Heating Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Total Cooling Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Sensible Heating Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Sensible Cooling Rate [W](Hourly),SPACE1-1 SUPPLY INLET:System Node Temperature [C](Hourly),SPACE1-1 SUPPLY INLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS AIR LOOP INLET:System Node Temperature [C](Hourly),DOAS AIR LOOP INLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS MIXED AIR OUTLET:System Node Temperature [C](Hourly),DOAS MIXED AIR OUTLET:System Node Mass Flow Rate [kg/s](Hourly),CONDENSER SUPPLY INLET NODE:System Node Temperature [C](Hourly),CONDENSER SUPPLY INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),CONDENSER SUPPLY OUTLET NODE:System Node Temperature [C](Hourly),CONDENSER SUPPLY OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 ZONE AIR NODE:System Node Temperature [C](Hourly),SPACE1-1 ZONE AIR NODE:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 AIR TERMINAL MIXER SECONDARY INLET:System Node Temperature [C](Hourly),SPACE1-1 AIR TERMINAL MIXER SECONDARY INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 RETURN OUTLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS OUTDOOR AIR INLET:System Node Temperature [C](Hourly),DOAS OUTDOOR AIR INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 AIR TERMINAL MIXER PRIMARY INLET:System Node Temperature [C](Hourly),SPACE1-1 AIR TERMINAL MIXER PRIMARY INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 HEAT PUMP INLET:System Node Temperature [C](Hourly),SPACE1-1 HEAT PUMP INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 ZONE UNIT FAN OUTLET:System Node Temperature [C](Hourly),SPACE1-1 ZONE UNIT FAN OUTLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 COOLING COIL OUTLET:System Node Temperature [C](Hourly),SPACE1-1 COOLING COIL OUTLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 HEATING COIL OUTLET:System Node Temperature [C](Hourly),SPACE1-1 HEATING COIL OUTLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS HEAT RECOVERY SUPPLY OUTLET:System Node Temperature [C](Hourly),DOAS HEAT RECOVERY SUPPLY OUTLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS RELIEF AIR OUTLET:System Node Temperature [C](Hourly),DOAS RELIEF AIR OUTLET:System Node Mass Flow Rate [kg/s](Hourly) 
 01/14  11:00:00,-4.4,0.0,29.654538247573347,23.870415089269757,-996.3066874044143,114.2961813699485,27.663092962080964,18.66808284545579,0.0,0.0,0.0,27.741000991473645,0.0,18.66174250101384,16.30960352080052,0.0019885234812833916,23.999027367603508,0.1499832745288435,18.27816930044838,0.14988742170454578,16.655950695678386,0.10190576337418833,10.1114649916106,0.10190576337418833,23.870415089269757,0.0019885234812833916,23.74828417651011,0.0,0.0019885234812833916,-4.4,0.14988742170454578,18.624922545567466,0.0019885234812833916,18.60864934935226,0.0019885234812833916,18.630970914928115,0.0019885234812833916,16.30960352080052,0.0019885234812833916,16.30960352080052,0.0019885234812833916,18.27816930044838,0.14988742170454578,23.999027391522039,0.14988742170454578 
 01/14  12:00:00,-4.0875,0.0,110.23624897648736,23.999999909607909,-1197.1448875261022,-110.23614961384647,106.17558873656016,71.30263074649325,0.0,0.0,0.0,106.66721234391938,0.0,71.40794355338474,9.691847799945215,0.0075051227371660329,23.999999351870139,0.16953632762871999,18.610017803573009,0.1694057516589405,16.761967288180317,0.1144276843647613,10.521814279054232,0.1144276843647613,23.999999909607909,0.0075051227371660329,23.99995021420107,0.0,0.0075051227371660329,-4.0875,0.1694057516589405,18.997684306866345,0.0075051227371660329,18.997684306866345,0.0075051227371660329,19.086945710977355,0.0075051227371660329,9.691847799945215,0.0075051227371660329,9.691847799945215,0.0075051227371660329,18.610017803573009,0.1694057516589405,23.999999351878267,0.1694057516589405 
 01/14  13:00:00,-3.9,0.0,229.90108635150956,23.95209991399302,-1224.576793162174,-178.94898128853584,228.80715389907707,148.51810115483853,0.0,0.0,0.0,230.12582944870779,0.0,148.86296096950657,14.44159901302071,0.015887956796281887,23.99636348229685,0.12162324601242158,18.786745452591164,0.12153245682339215,16.697328896744119,0.08303964734024279,10.553345782520914,0.08303964734024279,23.95209991399302,0.015887956796281887,23.95217574436718,0.0,0.015887956796281887,-3.9,0.12153245682339215,19.07337008240343,0.015887956796281887,19.066129445968046,0.015887956796281887,19.110735636560663,0.015887956796281887,14.44159901302071,0.015887956796281887,14.44159901302071,0.015887956796281887,18.786745452591164,0.12153245682339215,23.99636374913681,0.12153245682339215 
 01/14  14:00:00,-3.5249999999999996,0.0,1646.5998234451395,23.999218964681846,-2576.3239312907046,-1645.8825135925,1778.9927623614722,1164.1670436899297,0.0,0.0,0.0,1797.4204924459814,0.0,1172.5177213495602,10.60419641746355,0.1199082196441688,23.999681433500237,0.2846524299856774,18.607862582312518,0.2845967803463343,17.04552423998595,0.20606846288246728,11.238424312795953,0.20606846288246728,23.999218964681846,0.1199082196441688,23.99931316269239,0.02476967305846722,0.09513854658570158,-3.5249999999999996,0.2845967803463343,19.228184226817978,0.09513854658570158,20.095304372618359,0.1199082196441688,20.1844009333552,0.1199082196441688,10.60419641746355,0.1199082196441688,10.60419641746355,0.1199082196441688,18.607862582312518,0.2845967803463343,23.99968143287331,0.2845967803463343 
 01/14  15:00:00,-2.9875,0.0,2477.0473845195767,23.99886393511384,-3575.262097915782,-2475.78737858811,2476.460472778875,1833.811733990378,0.0,0.0,0.0,2498.124338309245,0.0,1845.7069720479113,10.176074928395689,0.17527278041247894,23.999678858488289,0.33735030131634399,18.238060490429505,0.33735030131634399,17.45468789386536,0.25943125917523537,11.696296319383443,0.25943125917523537,23.99886393511384,0.17527278041247894,23.99910890151872,0.0531689155031268,0.12210386490935213,-2.9875,0.33735030131634399,18.96687357520443,0.12210386490935213,20.4903125848393,0.17527278041247894,20.579633080627127,0.17527278041247894,10.176074928395689,0.17527278041247894,10.176074928395689,0.17527278041247894,18.238060490429505,0.33735030131634399,23.999678858488289,0.33735030131634399 
 01/14  16:00:00,-3.4875,0.0,2249.322824959001,23.9988583567123,-3369.7868386576458,-2248.0367525798285,2060.561430609651,1619.226134526521,0.0,0.0,0.0,2071.3224335634497,0.0,1624.6981549531343,9.527197993007223,0.15269610906803167,23.9994518541952,0.3204401967731121,18.296656112171556,0.3204401967731121,17.57828464593601,0.23344657401261366,11.78219239474094,0.23344657401261366,23.9988583567123,0.15269610906803167,23.998555202899504,0.030592244158679548,0.12210386490935213,-3.4875,0.3204401967731121,18.993680478434269,0.12210386490935213,19.96260494023093,0.15269610906803167,20.05208437430032,0.15269610906803167,9.527197993007223,0.15269610906803167,9.527197993007223,0.15269610906803167,18.296656112171556,0.3204401967731121,23.9994518541952,0.3204401967731121 
 01/14  17:00:00,-4.9624999999999999,0.0,1109.4213261853689,23.999989238492668,-2141.1854685748196,-1109.4096293156827,896.8039058644806,704.1349625271547,0.0,0.0,0.0,894.9795872537125,0.0,701.3377649089955,8.432733232690096,0.07039348452381378,23.99995046169279,0.20726080517574509,17.667492320545155,0.20714633648633186,17.370179362632024,0.13922356143036078,11.423106099247555,0.13922356143036078,23.999989238492668,0.07039348452381378,23.999877399047695,0.0,0.07039348452381378,-4.9624999999999999,0.20714633648633186,18.135786113085645,0.07039348452381378,18.135786113085645,0.07039348452381378,18.225381465011404,0.07039348452381378,8.432733232690096,0.07039348452381378,8.432733232690096,0.07039348452381378,17.667492320545155,0.20714633648633186,23.99995046215826,0.20714633648633186 
 01/14  18:00:00,-6.2875,0.0,347.2946582390057,23.99999999995213,-1312.7222289399707,-347.29465819185409,257.0413264892023,193.88419158793563,0.0,0.0,0.0,254.9686679975662,0.0,191.85368875311725,7.706370836212821,0.020951579223071356,23.99999999967842,0.1332279470812306,16.353615030210876,0.1332279470812306,17.017202204250205,0.09092961081789337,11.207533791892152,0.09092961081789337,23.99999999995213,0.020951579223071356,23.999999998420266,0.0,0.020951579223071356,-6.2875,0.1332279470812306,16.66067834897444,0.020951579223071356,16.660678348974444,0.020951579223071356,16.750305520404578,0.020951579223071356,7.706370836212821,0.020951579223071356,7.706370836212821,0.020951579223071356,16.353615030210876,0.1332279470812306,23.99999999967842,0.1332279470812306 
 01/14  19:00:00,-7.0125,181.74912592375444,0.0,23.154137367194147,-128.50009794116887,1292.0796146667684,0.0,0.0,383.9619183317185,0.0,386.2162667104309,0.0,386.21626671043097,0.0,24.602374923441674,0.025998347581430958,23.364910948491017,0.14101578948315003,15.1921279082452,0.14101999864691773,14.529596653591753,0.09797205300974865,12.868354136699308,0.09797205300974865,23.154137367194147,0.025998347581430958,23.280063014572144,0.0,0.025998347581430958,-7.012499999999999,0.14101999864691773,15.519547528719795,0.025998347581430958,15.558553698390132,0.025998347581430958,15.614210804723383,0.025998347581430958,15.614210804723383,0.025998347581430958,24.602374923441674,0.025998347581430958,15.1921279082452,0.14101999864691773,23.36512790507794,0.14101999864691773 
 01/14  20:00:00,-7.2,945.6986570630093,0.0,22.999999691682125,945.6988239159591,2017.7395543965523,0.0,0.0,1019.2045690182652,0.0,1048.2905618721789,0.0,1048.2905618721787,0.0,36.00705087559183,0.07089311050421149,22.99998786837485,0.03552112433726608,14.64799967688023,0.03552112433726608,10.92974972001895,0.14078549628626284,15.14967127420674,0.14078549628626284,22.999999691682125,0.07089311050421149,22.99990574809083,0.05868272401327628,0.012210386490935213,-7.2,0.03552112433726608,14.764263161060445,0.012210386490935213,21.572076295907566,0.07089311050421149,21.661073772559037,0.07089311050421149,21.661073772559037,0.07089311050421149,36.00705087559183,0.07089311050421149,14.64799967688023,0.03552112433726608,22.99998786837485,0.03552112433726608 
